Invoice_ID,Date,Supplier,Category,Country,Department,Invoice_Description,Amount,Payment_Terms,On_Time_Delivery,Defect_Rate_Pct,Lead_Time_Days,Risk_Score,Risk_Level,Contract_Value,Contract_Expiry_Date
900,2024-10-08,MetalWorks Ltd.,Raw Materials,Russia,HR,Chemical compounds order,466940,Net 60,No,4.5,23,62,High,4198367,2026-11-14
901,2023-04-08,CreativeHub Co.,Marketing,Canada,Finance,Digital advertising campaign,399122,Net 45,No,7.3,24,12,Low,2498468,2026-08-17
902,2023-03-31,GlobalTech Systems,IT,China,HR,Cybersecurity audit services,144121,Net 60,No,1.7,3,87,Critical,507529,2026-11-25
903,2024-01-26,RapidRoute LLC,Logistics,Canada,Procurement,Port handling charges,318627,Net 60,Yes,2.5,26,33,Low,1756767,2026-11-10
904,2024-12-22,PrintCore Ltd.,Office Supplies,Germany,Operations,Desk equipment purchase,154682,Net 60,Yes,6.3,26,18,Low,1550754,2027-01-11
905,2023-06-21,BuildRight Co.,Facilities,UK,Finance,Pest control quarterly,478676,Net 60,Yes,7.7,33,25,Low,3023940,2026-05-12
906,2023-12-21,JurisCore Co.,Legal,Germany,Operations,Legal consultation monthly,311146,Net 60,Yes,5.2,7,24,Low,2581405,2026-12-18
907,2024-03-12,ByteWave Technologies,IT,USA,IT,IT infrastructure upgrade,305802,Net 30,No,5.3,36,22,Low,2980180,2027-03-13
908,2023-09-09,SkyLog Partners,Logistics,USA,Manufacturing,International freight forwarding,161653,Net 45,No,7.9,3,22,Low,4746899,2026-09-14
909,2024-03-26,CompliancePro Ltd.,Legal,UK,Engineering,Corporate governance advisory,349742,Net 60,No,7.2,14,20,Low,3064854,2026-10-17
910,2023-05-09,AdvisoryCore Co.,Consulting,Singapore,Manufacturing,Financial consulting services,407539,Net 45,Yes,7.0,28,23,Low,2083590,2026-11-07
911,2024-03-08,GlobalTech Systems,IT,China,Operations,Network equipment purchase,103727,Net 90,Yes,1.5,43,92,Critical,2472845,2027-04-19
912,2024-02-12,EnergyPrime Ltd.,Energy,UAE,Engineering,Generator fuel supply,308373,Net 45,No,5.5,40,48,Medium,4240502,2027-04-22
913,2023-04-01,MetalMax Co.,Raw Materials,China,Marketing,Steel rods bulk purchase,385468,2/10 Net 30,No,7.0,15,78,Critical,714935,2026-11-12
914,2023-07-19,NetSphere Ltd.,IT,Germany,IT,Cloud server hosting monthly fee,62103,Net 90,No,3.3,32,23,Low,355420,2027-01-17
915,2024-05-24,SteelCore Inc.,Raw Materials,Brazil,IT,Plastic components supply,213106,Net 90,Yes,6.0,12,48,Medium,1483355,2027-03-11
916,2024-03-20,SolarMax Inc.,Energy,USA,HR,Wind turbine maintenance,499444,Net 30,Yes,1.2,43,15,Low,3876912,2026-11-24
917,2023-12-25,SteelCore Inc.,Raw Materials,Brazil,Sales,Iron ore bulk shipment,246370,Net 90,No,0.9,45,52,Medium,277248,2027-01-22
918,2023-10-03,SteelCore Inc.,Raw Materials,Brazil,IT,Carbon fiber materials,277070,2/10 Net 30,No,5.9,26,49,Medium,2390879,2026-08-10
919,2023-06-05,LawBridge Inc.,Legal,Singapore,HR,Compliance audit fees,443809,Net 60,Yes,6.7,42,33,Low,3444846,2027-01-17
920,2024-03-02,SteelCore Inc.,Raw Materials,Brazil,Sales,Steel rods bulk purchase,291741,Net 30,Yes,2.1,33,48,Medium,4679240,2027-05-31
921,2023-05-01,SupplyBase Co.,Office Supplies,India,Marketing,Filing cabinet order,420699,2/10 Net 30,Yes,0.4,34,26,Low,4701118,2027-04-25
922,2023-08-21,MediaPulse Inc.,Marketing,Australia,Operations,Social media management,226894,Net 60,No,5.8,17,21,Low,3140694,2026-12-10
923,2023-08-13,CleanSpace Services,Facilities,USA,Sales,Pest control quarterly,256408,Net 60,No,7.7,30,17,Low,2672346,2026-10-01
924,2023-07-11,MetalMax Co.,Raw Materials,China,IT,Steel rods bulk purchase,418511,Net 60,Yes,1.9,6,76,Critical,3402594,2026-08-16
925,2024-08-26,AlloyCraft Ltd.,Raw Materials,South Korea,Engineering,Chemical compounds order,383321,Net 90,Yes,2.3,30,39,Medium,4109914,2026-10-15
926,2024-04-12,LegalEdge LLP,Legal,USA,Manufacturing,Litigation support services,253253,Net 60,Yes,3.0,26,13,Low,1804693,2026-10-11
927,2023-01-07,LawBridge Inc.,Legal,Singapore,Finance,Contract review services,389765,Net 90,Yes,7.1,43,29,Low,1428742,2027-01-10
928,2023-07-15,DeskPro Inc.,Office Supplies,China,Legal,Filing cabinet order,275904,Net 45,Yes,2.9,21,36,Medium,1117729,2026-10-13
929,2024-04-09,SolarMax Inc.,Energy,USA,Legal,Solar panel maintenance,156637,Net 30,No,6.3,41,17,Low,825840,2026-11-02
930,2023-07-12,FlightPro Ltd.,Travel,UAE,Engineering,Hotel accommodation corporate,100077,Net 30,Yes,2.5,27,44,Medium,2235436,2026-12-06
931,2023-07-11,DeskPro Inc.,Office Supplies,China,HR,Desk equipment purchase,392518,Net 90,Yes,3.8,36,42,Medium,4700982,2026-10-26
932,2023-09-27,IronPeak Mfg.,Raw Materials,Turkey,HR,Aluminum sheets order,11153,Net 90,Yes,7.2,13,63,High,258244,2026-06-23
933,2024-01-03,OfficePlus Ltd.,Office Supplies,USA,Legal,Filing cabinet order,301701,2/10 Net 30,Yes,6.0,23,15,Low,3661771,2027-05-27
934,2024-09-20,MediaPulse Inc.,Marketing,Australia,Finance,Market research report,299532,Net 45,No,2.0,13,16,Low,2082669,2027-01-30
935,2023-06-30,AdvisoryCore Co.,Consulting,Singapore,Operations,Supply chain consulting,172924,Net 30,Yes,2.5,42,25,Low,2608908,2026-06-08
936,2024-08-03,AlloyCraft Ltd.,Raw Materials,South Korea,Legal,Chemical compounds order,253380,Net 45,Yes,7.2,22,37,Medium,949781,2026-05-22
937,2024-08-05,ConsultPro Inc.,Consulting,USA,Marketing,Digital transformation advisory,131410,Net 30,No,7.7,10,13,Low,788765,2026-07-21
938,2024-10-09,SpaceWorks Inc.,Facilities,Australia,Engineering,Building maintenance services,123803,Net 60,No,4.0,27,7,Low,3927818,2026-09-14
939,2023-11-28,PrimeParts Mfg.,Raw Materials,India,Legal,Aluminum sheets order,245496,2/10 Net 30,Yes,5.1,2,23,Low,4786213,2026-05-24
940,2023-11-24,CompliancePro Ltd.,Legal,UK,Legal,Regulatory filing fees,190390,Net 60,Yes,4.4,14,15,Low,1839030,2027-01-07
941,2023-11-02,LawBridge Inc.,Legal,Singapore,HR,Legal consultation monthly,34328,Net 30,Yes,1.2,15,31,Low,1981027,2027-04-23
942,2024-10-06,ConsultPro Inc.,Consulting,USA,Marketing,Supply chain consulting,489034,Net 90,Yes,2.1,38,20,Low,3439194,2027-02-19
943,2023-12-13,ConsultPro Inc.,Consulting,USA,Marketing,Strategy consulting project,98473,2/10 Net 30,No,3.3,4,13,Low,1137221,2026-08-30
944,2024-01-13,NetSphere Ltd.,IT,Germany,Sales,Data storage solution,322867,Net 60,Yes,5.4,2,28,Low,3935049,2027-03-18
945,2024-01-11,LegalEdge LLP,Legal,USA,Marketing,Regulatory filing fees,118579,Net 60,Yes,0.5,39,12,Low,2579312,2026-05-30
946,2023-01-01,PrimeParts Mfg.,Raw Materials,India,Procurement,Rubber seals batch,447727,Net 30,No,5.7,6,17,Low,440222,2026-09-13
947,2023-04-26,RapidRoute LLC,Logistics,Canada,Sales,Fleet maintenance services,403868,Net 90,Yes,0.4,7,25,Low,2976373,2027-03-22
948,2024-09-27,GlobalTech Systems,IT,China,IT,SaaS platform subscription,264602,2/10 Net 30,Yes,8.0,18,88,Critical,1237416,2026-12-18
949,2023-06-23,EnergyPrime Ltd.,Energy,UAE,Operations,Electricity supply monthly bill,82854,Net 60,Yes,3.6,27,49,Medium,4186291,2027-01-14
950,2024-12-13,AdMax Agency,Marketing,USA,Marketing,Event management services,39207,Net 45,No,0.2,2,15,Low,1965465,2026-05-22
951,2024-03-01,InsightBridge LLC,Consulting,Australia,Finance,Business process review,192807,Net 30,Yes,4.2,23,20,Low,523636,2026-07-13
952,2023-05-11,AlloyCraft Ltd.,Raw Materials,South Korea,Sales,Steel rods bulk purchase,260598,2/10 Net 30,No,4.8,39,36,Medium,1585480,2027-05-29
953,2023-06-15,IronPeak Mfg.,Raw Materials,Turkey,Marketing,Carbon fiber materials,344315,Net 90,Yes,7.6,18,58,High,706817,2027-03-01
954,2024-08-09,TripCore Inc.,Travel,India,Finance,Travel insurance premium,96044,Net 30,Yes,3.8,24,38,Medium,2553442,2027-06-04
955,2024-02-03,JurisCore Co.,Legal,Germany,Engineering,Legal consultation monthly,287202,Net 45,Yes,4.0,30,27,Low,3274200,2027-05-23
956,2024-07-13,DataCore Solutions,IT,India,Operations,SaaS platform subscription,88017,Net 30,Yes,5.4,26,37,Medium,1393654,2026-09-29
957,2024-01-25,LawBridge Inc.,Legal,Singapore,HR,Compliance audit fees,283892,2/10 Net 30,Yes,7.7,25,33,Low,3930888,2026-06-17
958,2024-05-07,LawBridge Inc.,Legal,Singapore,Sales,Litigation support services,348917,Net 45,Yes,6.1,15,29,Low,3485324,2027-02-05
959,2024-03-05,CompliancePro Ltd.,Legal,UK,Sales,Compliance audit fees,176649,Net 45,Yes,5.9,43,15,Low,4548797,2026-11-09
960,2024-01-03,PrimeParts Mfg.,Raw Materials,India,Finance,Aluminum sheets order,87440,Net 45,No,7.1,37,17,Low,3207091,2026-06-18
961,2023-02-24,CloudBase Inc.,IT,USA,Sales,Network equipment purchase,406372,Net 60,No,3.3,29,47,Medium,833075,2027-04-15
962,2024-08-16,BuildRight Co.,Facilities,UK,Operations,HVAC system repair,37584,Net 30,No,1.4,1,21,Low,4131504,2026-08-23
963,2024-05-23,PowerGen Ltd.,Energy,Norway,Operations,Electricity supply monthly bill,202605,Net 90,Yes,0.7,11,28,Low,3268434,2026-07-16
964,2024-04-21,MedCore Solutions,Healthcare,India,Operations,Medical equipment lease,135518,Net 30,Yes,2.3,6,40,Medium,1641417,2026-08-11
965,2023-11-08,SupplyBase Co.,Office Supplies,India,HR,Desk equipment purchase,343542,Net 45,Yes,2.9,22,33,Low,2502418,2026-07-04
966,2023-08-20,InsightBridge LLC,Consulting,Australia,Finance,Supply chain consulting,87055,Net 30,Yes,7.8,33,20,Low,4766475,2026-06-02
967,2023-05-25,SteelCore Inc.,Raw Materials,Brazil,Sales,Aluminum sheets order,189445,2/10 Net 30,Yes,4.4,41,45,Medium,3856092,2027-03-17
968,2023-04-19,MedCore Solutions,Healthcare,India,Marketing,First aid kit restocking,340537,Net 90,No,6.7,28,49,Medium,3574685,2026-10-21
969,2023-01-15,MediSupply Co.,Healthcare,USA,Legal,First aid kit restocking,258033,Net 30,Yes,8.0,7,23,Low,4024147,2026-10-25
970,2024-10-24,MediSupply Co.,Healthcare,USA,Finance,Medical supplies monthly order,341649,Net 60,Yes,0.1,39,25,Low,905183,2027-01-01
971,2024-01-26,IronPeak Mfg.,Raw Materials,Turkey,Sales,Carbon fiber materials,450024,2/10 Net 30,Yes,4.3,6,60,High,2568009,2026-07-04
972,2024-11-19,InsightBridge LLC,Consulting,Australia,Finance,Supply chain consulting,473710,Net 45,Yes,7.0,6,15,Low,1764725,2026-09-09
973,2023-05-31,AdMax Agency,Marketing,USA,Manufacturing,PR agency monthly retainer,340982,Net 60,Yes,0.6,5,16,Low,908021,2026-05-11
974,2024-01-02,PrintCore Ltd.,Office Supplies,Germany,Manufacturing,Coffee machine supplies,226906,2/10 Net 30,Yes,4.0,28,17,Low,3034638,2027-02-16
975,2024-09-30,BrandCore Ltd.,Marketing,UK,Marketing,Content creation services,216578,Net 45,No,5.9,3,25,Low,1166629,2026-08-07
976,2024-12-29,CleanSpace Services,Facilities,USA,Sales,Pest control quarterly,62291,Net 45,Yes,7.9,15,17,Low,3712128,2026-06-07
977,2023-08-06,BrandCore Ltd.,Marketing,UK,Marketing,Social media management,350669,Net 90,Yes,3.5,3,24,Low,1348924,2027-06-05
978,2024-07-15,TripCore Inc.,Travel,India,HR,Travel insurance premium,50323,2/10 Net 30,No,6.1,10,39,Medium,1385200,2026-09-25
979,2024-03-21,TravelEase Inc.,Travel,USA,Sales,Business class flights booking,292881,Net 30,No,6.2,23,19,Low,3220865,2027-02-05
980,2023-05-22,PowerGen Ltd.,Energy,Norway,Marketing,Power backup services,333281,Net 30,Yes,0.0,26,21,Low,4815653,2027-02-28
981,2024-04-30,CloudBase Inc.,IT,USA,Sales,Cloud server hosting monthly fee,210390,Net 30,No,6.8,6,38,Medium,631650,2027-04-24
982,2024-10-31,CloudBase Inc.,IT,USA,Finance,Data storage solution,294178,Net 60,Yes,1.1,45,41,Medium,1084568,2026-12-14
983,2023-09-05,MedCore Solutions,Healthcare,India,Procurement,Medical supplies monthly order,490868,Net 90,Yes,2.4,20,50,Medium,4074031,2027-05-05
984,2024-12-27,PrimeParts Mfg.,Raw Materials,India,Manufacturing,Chemical compounds order,287648,Net 30,No,7.8,45,15,Low,1322057,2026-07-26
985,2023-09-17,HealthBridge Inc.,Healthcare,Germany,HR,Occupational health services,294430,Net 90,Yes,4.2,28,32,Low,3285878,2026-07-06
986,2024-05-17,FacilityPro Ltd.,Facilities,Canada,Engineering,Office cleaning monthly contract,126621,Net 60,Yes,7.1,22,23,Low,1642160,2026-07-18
987,2024-04-13,GlobalTech Systems,IT,China,HR,Network equipment purchase,447970,Net 60,Yes,6.6,20,87,Critical,1904441,2026-10-29
988,2024-09-06,ByteWave Technologies,IT,USA,IT,Software license renewal,309467,Net 30,Yes,1.2,20,20,Low,3338702,2027-01-09
989,2024-07-12,HealthBridge Inc.,Healthcare,Germany,Engineering,Lab testing services,60913,2/10 Net 30,Yes,2.6,26,28,Low,464274,2027-03-21
990,2024-02-27,LegalEdge LLP,Legal,USA,Engineering,Patent filing fees,228805,Net 45,Yes,4.9,25,15,Low,2654069,2027-05-29
991,2024-06-14,CompliancePro Ltd.,Legal,UK,Operations,Contract review services,421594,Net 30,No,7.0,36,15,Low,2918735,2026-08-06
992,2023-03-16,LawBridge Inc.,Legal,Singapore,Sales,Trademark registration,328139,Net 90,Yes,5.7,37,31,Low,4800405,2026-09-24
993,2024-12-14,BrandCore Ltd.,Marketing,UK,Sales,Event management services,108436,2/10 Net 30,No,7.5,6,27,Low,2167836,2026-11-13
994,2023-03-07,ConsultPro Inc.,Consulting,USA,Procurement,HR transformation project,322901,Net 60,Yes,4.5,28,12,Low,640475,2026-05-21
995,2024-07-31,MediSupply Co.,Healthcare,USA,Procurement,Lab testing services,405135,Net 90,No,1.1,27,24,Low,723523,2026-05-21
996,2023-06-06,PowerGen Ltd.,Energy,Norway,Operations,Gas supply quarterly,343635,Net 90,Yes,2.7,22,25,Low,4003752,2027-01-14
997,2023-05-05,LawBridge Inc.,Legal,Singapore,Manufacturing,Patent filing fees,482194,Net 60,Yes,5.8,23,30,Low,1680560,2026-09-05
998,2023-06-01,OfficePlus Ltd.,Office Supplies,USA,Legal,Coffee machine supplies,391076,2/10 Net 30,Yes,0.6,45,11,Low,4508026,2026-11-13
999,2024-06-18,FlightPro Ltd.,Travel,UAE,Marketing,Airport transfer services,232172,2/10 Net 30,Yes,5.2,30,47,Medium,959714,2026-12-15
1000,2023-05-20,OfficePlus Ltd.,Office Supplies,USA,Engineering,Printer paper bulk order,341318,Net 60,No,7.5,15,7,Low,1439729,2027-02-07
1001,2023-11-25,StayBridge Co.,Travel,France,Manufacturing,Per diem expenses,82098,Net 30,Yes,7.1,44,25,Low,3727074,2026-06-16
1002,2024-11-06,SkyLog Partners,Logistics,USA,Finance,Warehouse storage monthly fee,181236,Net 90,No,0.9,34,17,Low,1600531,2027-03-31
1003,2023-07-25,BuildRight Co.,Facilities,UK,Engineering,HVAC system repair,224025,Net 45,Yes,4.8,30,24,Low,1865565,2026-06-10
1004,2023-05-02,DeskPro Inc.,Office Supplies,China,Engineering,Stationery monthly supply,17228,2/10 Net 30,Yes,4.3,33,41,Medium,4031056,2026-09-01
1005,2024-05-03,SupplyBase Co.,Office Supplies,India,Manufacturing,Printer cartridge order,378188,Net 30,Yes,4.9,17,28,Low,2383194,2027-02-03
1006,2023-08-23,JurisCore Co.,Legal,Germany,Finance,Legal consultation monthly,487557,Net 60,Yes,3.8,44,24,Low,4456436,2026-11-01
1007,2024-09-08,ByteWave Technologies,IT,USA,Finance,IT support and maintenance,350943,Net 45,Yes,4.3,13,17,Low,3083213,2027-04-22
1008,2023-03-24,FlightPro Ltd.,Travel,UAE,Sales,Travel insurance premium,484320,2/10 Net 30,No,0.8,8,44,Medium,315503,2026-09-26
1009,2024-07-16,AdvisoryCore Co.,Consulting,Singapore,Engineering,Operations improvement project,353079,Net 90,Yes,0.5,38,20,Low,3354726,2026-10-21
1010,2024-02-26,NetSphere Ltd.,IT,Germany,Finance,SaaS platform subscription,345359,2/10 Net 30,Yes,3.8,5,29,Low,2671342,2026-06-03
1011,2024-02-26,SupplyBase Co.,Office Supplies,India,Operations,Printer paper bulk order,306380,2/10 Net 30,No,5.2,25,25,Low,2542197,2027-04-04
1012,2023-10-24,CloudBase Inc.,IT,USA,Engineering,IT infrastructure upgrade,195237,Net 60,Yes,3.1,32,41,Medium,3453590,2026-05-17
1013,2024-08-24,CompliancePro Ltd.,Legal,UK,Legal,Trademark registration,294215,2/10 Net 30,Yes,4.0,45,13,Low,2743234,2026-11-06
1014,2024-02-11,MetalWorks Ltd.,Raw Materials,Russia,HR,Plastic components supply,466772,Net 60,Yes,0.8,27,68,High,1313614,2026-05-20
1015,2024-03-25,JurisCore Co.,Legal,Germany,Marketing,Contract review services,98052,Net 90,Yes,7.1,23,26,Low,650734,2026-11-01
1016,2023-04-27,EnergyPrime Ltd.,Energy,UAE,Sales,Power backup services,424296,Net 60,No,5.7,14,57,Medium,1534688,2027-05-04
1017,2023-08-22,DeskPro Inc.,Office Supplies,China,Procurement,Coffee machine supplies,498257,Net 60,No,3.5,6,42,Medium,4504844,2026-08-26
1018,2023-10-03,TripCore Inc.,Travel,India,Marketing,Business class flights booking,350204,Net 45,No,3.5,12,31,Medium,4224547,2026-11-24
1019,2023-12-23,SwiftCargo Inc.,Logistics,UAE,Marketing,Express courier services,399262,Net 90,Yes,7.2,17,57,High,3266602,2026-10-16
1020,2023-07-25,FlightPro Ltd.,Travel,UAE,Engineering,Visa processing fees,152381,Net 30,No,4.9,20,45,Medium,2858708,2027-01-26
1021,2023-12-10,CleanSpace Services,Facilities,USA,Finance,Building maintenance services,427789,Net 60,Yes,6.4,14,14,Low,489403,2027-03-28
1022,2024-01-09,SwiftCargo Inc.,Logistics,UAE,Manufacturing,Express courier services,307189,Net 90,No,5.0,25,60,High,4541756,2027-04-05
1023,2024-12-23,GreenWatt Co.,Energy,Denmark,Marketing,Utility management fees,134684,Net 45,Yes,3.1,9,20,Low,3875593,2027-01-21
1024,2023-12-11,FastFreight Co.,Logistics,Mexico,Marketing,Port handling charges,327771,Net 60,Yes,3.7,12,74,High,4323934,2026-06-27
1025,2024-08-21,GlobalTech Systems,IT,China,IT,Cloud server hosting monthly fee,292372,Net 90,Yes,0.6,9,86,Critical,2185734,2026-05-06
1026,2023-12-22,SolarMax Inc.,Energy,USA,Operations,Electricity supply monthly bill,431122,2/10 Net 30,Yes,4.8,11,20,Low,725682,2026-07-30
1027,2023-03-26,BrandCore Ltd.,Marketing,UK,Procurement,Event management services,338865,Net 90,Yes,6.9,43,17,Low,1220167,2027-02-27
1028,2023-10-26,TripCore Inc.,Travel,India,Engineering,Car rental services,26198,Net 90,No,6.6,6,36,Medium,3278306,2026-06-16
1029,2023-08-10,RapidRoute LLC,Logistics,Canada,IT,Cold chain logistics,142985,Net 60,Yes,1.9,24,26,Low,1042240,2027-03-29
1030,2023-11-09,TripCore Inc.,Travel,India,Sales,Conference registration fees,170744,Net 90,Yes,5.1,5,34,Medium,1251894,2027-05-17
1031,2023-09-02,CompliancePro Ltd.,Legal,UK,Legal,Contract review services,241314,Net 30,Yes,6.1,39,15,Low,2824775,2026-11-15
1032,2024-07-15,FlightPro Ltd.,Travel,UAE,Marketing,Hotel accommodation corporate,24810,Net 90,Yes,5.6,19,47,Medium,3511253,2027-02-02
1033,2023-02-20,ByteWave Technologies,IT,USA,IT,Cloud server hosting monthly fee,297427,Net 45,Yes,7.0,40,22,Low,1621893,2027-05-17
1034,2024-09-03,SkyLog Partners,Logistics,USA,Operations,Cross border shipping charges,265773,2/10 Net 30,Yes,3.3,44,18,Low,3233228,2027-03-27
1035,2023-11-05,MedCore Solutions,Healthcare,India,Legal,Medical equipment lease,47916,Net 90,Yes,0.4,35,50,Medium,2390252,2027-02-02
1036,2024-02-04,CloudBase Inc.,IT,USA,Procurement,Cybersecurity audit services,167537,Net 45,Yes,6.8,23,37,Medium,890113,2027-02-01
1037,2023-04-14,SkyLog Partners,Logistics,USA,Manufacturing,Port handling charges,234145,Net 45,Yes,0.6,38,23,Low,4665449,2026-06-01
1038,2024-09-02,SolarMax Inc.,Energy,USA,Sales,Gas supply quarterly,231628,2/10 Net 30,No,0.8,40,15,Low,3950464,2027-01-22
1039,2023-01-19,AdMax Agency,Marketing,USA,Legal,Event management services,404572,Net 90,Yes,3.5,4,18,Low,3919936,2027-01-19
1040,2024-03-22,MetalMax Co.,Raw Materials,China,Procurement,Aluminum sheets order,289460,2/10 Net 30,Yes,1.4,31,78,Critical,1033605,2026-08-10
1041,2024-03-18,PrintCore Ltd.,Office Supplies,Germany,Finance,Stationery monthly supply,166241,Net 30,No,7.2,41,21,Low,1051389,2026-06-25
1042,2024-12-05,GreenWatt Co.,Energy,Denmark,Legal,Electricity supply monthly bill,228155,Net 90,Yes,7.4,25,21,Low,1567362,2026-08-01
1043,2023-12-23,TravelEase Inc.,Travel,USA,HR,Travel insurance premium,316200,Net 90,No,4.7,21,16,Low,630983,2026-12-02
1044,2023-07-02,BuildRight Co.,Facilities,UK,Marketing,Pest control quarterly,148045,2/10 Net 30,Yes,3.8,31,18,Low,1124821,2027-01-31
1045,2023-10-01,StratEdge Ltd.,Consulting,UK,Marketing,Supply chain consulting,323928,2/10 Net 30,Yes,2.4,12,14,Low,381675,2026-06-21
1046,2024-07-04,AdMax Agency,Marketing,USA,Marketing,Social media management,195046,2/10 Net 30,Yes,7.7,15,25,Low,282976,2027-04-24
1047,2023-12-05,DataCore Solutions,IT,India,Engineering,Data storage solution,21519,Net 30,No,4.0,45,36,Medium,2198078,2027-05-25
1048,2023-08-28,PowerGen Ltd.,Energy,Norway,IT,Power backup services,340136,Net 90,No,5.0,29,29,Low,3117175,2026-11-17
1049,2023-02-13,NetSphere Ltd.,IT,Germany,IT,Network equipment purchase,168384,Net 45,Yes,1.6,11,27,Low,193377,2026-08-01
1050,2023-09-09,GreenWatt Co.,Energy,Denmark,Procurement,Solar panel maintenance,103804,Net 60,No,4.2,16,14,Low,3343123,2026-11-23
1051,2023-04-17,MediaPulse Inc.,Marketing,Australia,Sales,Brand design services,463953,Net 30,Yes,1.7,11,17,Low,2304797,2026-08-19
1052,2024-01-14,StratEdge Ltd.,Consulting,UK,Operations,HR transformation project,332012,Net 90,No,1.5,1,18,Low,4775198,2026-10-29
1053,2024-01-30,GreenWatt Co.,Energy,Denmark,Manufacturing,Electricity supply monthly bill,276201,2/10 Net 30,Yes,0.0,28,20,Low,2309281,2026-08-16
1054,2023-04-15,InsightBridge LLC,Consulting,Australia,Engineering,Strategy consulting project,428423,Net 90,Yes,5.9,44,17,Low,4500521,2027-03-15
1055,2024-01-02,StratEdge Ltd.,Consulting,UK,IT,Operations improvement project,350363,Net 45,Yes,7.3,29,15,Low,4690687,2026-08-06
1056,2023-08-08,LawBridge Inc.,Legal,Singapore,HR,Legal consultation monthly,130657,Net 90,No,7.6,28,25,Low,213908,2027-02-10
1057,2024-02-05,CompliancePro Ltd.,Legal,UK,Finance,Patent filing fees,272353,Net 30,Yes,0.5,34,14,Low,1978286,2026-12-04
1058,2024-10-01,LegalEdge LLP,Legal,USA,Legal,Trademark registration,163839,Net 30,Yes,8.0,14,17,Low,3482557,2026-08-24
1059,2024-07-24,FacilityPro Ltd.,Facilities,Canada,Engineering,Office cleaning monthly contract,128894,2/10 Net 30,Yes,4.2,16,15,Low,1848789,2026-09-01
1060,2024-11-16,DeskPro Inc.,Office Supplies,China,Engineering,Whiteboard and markers,240983,Net 30,No,1.4,32,39,Medium,2111404,2026-10-13
1061,2023-07-28,OceanShip Ltd.,Logistics,Singapore,Marketing,Fleet maintenance services,365943,Net 90,Yes,0.3,22,51,High,4682132,2027-01-25
1062,2023-03-21,HealthBridge Inc.,Healthcare,Germany,Marketing,First aid kit restocking,471602,Net 90,Yes,7.7,6,33,Low,537387,2027-02-28
1063,2023-03-19,MetalMax Co.,Raw Materials,China,IT,Chemical compounds order,431012,Net 45,Yes,7.9,20,77,Critical,2858648,2026-07-07
1064,2023-08-31,MediaPulse Inc.,Marketing,Australia,IT,Brand design services,54772,Net 30,Yes,4.3,40,15,Low,3639274,2026-08-08
1065,2023-06-05,SteelCore Inc.,Raw Materials,Brazil,Operations,Rubber seals batch,242707,2/10 Net 30,Yes,5.3,5,44,Medium,4724201,2027-03-27
1066,2023-02-11,PowerGen Ltd.,Energy,Norway,IT,Gas supply quarterly,323863,Net 45,Yes,4.6,39,27,Low,4322307,2026-08-05
1067,2024-01-03,MediaPulse Inc.,Marketing,Australia,Legal,Content creation services,315887,Net 60,No,7.9,9,22,Low,4039704,2027-03-10
1068,2024-06-18,GreenWatt Co.,Energy,Denmark,Manufacturing,Gas supply quarterly,284499,Net 60,No,0.7,6,20,Low,1245650,2026-10-29
1069,2024-10-20,BuildRight Co.,Facilities,UK,Engineering,Waste disposal services,209959,Net 60,Yes,4.9,2,21,Low,4060654,2026-07-14
1070,2023-02-24,SwiftCargo Inc.,Logistics,UAE,Legal,Warehouse storage monthly fee,190747,Net 30,No,5.7,2,65,High,1217671,2027-01-31
1071,2023-11-02,FlightPro Ltd.,Travel,UAE,Sales,Hotel accommodation corporate,220447,Net 30,No,2.5,43,47,Medium,4167825,2026-11-22
1072,2024-03-10,TripCore Inc.,Travel,India,Operations,Per diem expenses,190756,Net 60,Yes,2.7,37,33,Medium,2233176,2026-09-23
1073,2023-10-25,SkyLog Partners,Logistics,USA,Engineering,Last mile delivery services,277345,2/10 Net 30,Yes,5.1,41,20,Low,1370210,2027-03-30
1074,2024-05-25,HealthBridge Inc.,Healthcare,Germany,Engineering,Medical equipment lease,23376,Net 45,Yes,2.4,39,27,Low,4575203,2027-01-03
1075,2024-06-19,AdMax Agency,Marketing,USA,HR,Event management services,403194,Net 45,No,7.2,39,16,Low,3217529,2027-05-24
1076,2023-07-17,PrintCore Ltd.,Office Supplies,Germany,Sales,Filing cabinet order,74648,Net 30,Yes,7.5,17,22,Low,4614005,2026-09-22
1077,2023-11-02,MediSupply Co.,Healthcare,USA,Marketing,Employee health screening,179923,Net 30,Yes,7.8,34,25,Low,937700,2026-08-13
1078,2024-07-06,SkyLog Partners,Logistics,USA,Engineering,Port handling charges,179740,Net 30,Yes,3.0,15,24,Low,4075511,2026-12-03
1079,2023-09-17,CleanSpace Services,Facilities,USA,Operations,Security services monthly,200913,Net 60,Yes,7.0,11,19,Low,1033153,2027-04-18
1080,2024-11-03,MetalWorks Ltd.,Raw Materials,Russia,Finance,Aluminum sheets order,433015,Net 30,Yes,7.7,38,62,High,284814,2026-10-18
1081,2023-01-30,AdvisoryCore Co.,Consulting,Singapore,HR,Business process review,172922,Net 60,Yes,1.5,2,24,Low,3597669,2027-01-03
1082,2023-08-10,SolarMax Inc.,Energy,USA,Operations,Solar panel maintenance,332032,Net 30,Yes,1.5,44,12,Low,813699,2026-12-11
